scope_level,province,city,district,candidate_count,competition_pool_count,winner_uid,winner,winner_level,winner_private,winner_tags,decision_basis,decision_detail,evidence_strength,status,ranking_system,comparison_group,ranking_id,ranking_edition,ranking_list,ranking_category,ranking_scale_field,ranking_display,ranking_reference,ranking_source_url,location_basis,location_evidence,runner_up_uid,runner_up,runner_up_level,runner_up_system,runner_up_same_scale,unresolved_reason,comparable_candidates,needs_ranking_backfill,notes
district,福建省,泉州市,安溪县,1,1,4135010389,福建农林大学,本科,no,,single_candidate,该行政单元在现行口径下只有 1 个候选，无需比较,policy,resolved_policy,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 122,122,https://www.shanghairanking.cn/rankings/bcur/2026,campus,profile_campus,,,,,no,,福建农林大学,no,
district,福建省,泉州市,德化县,1,1,4135013975,泉州工艺美术职业学院,专科,no,,single_candidate,该行政单元在现行口径下只有 1 个候选，无需比较,policy,resolved_policy,shanghairanking-bcvcr-public-vocational,shanghairanking-bcvcr-public-vocational,shanghairanking-bcvcr-public-vocational,2026,中国高职专科院校排名（总榜）,文艺,rankOverall,2026软科高职文艺 17+ · 高职专科总榜 500+,500+,https://www.shanghairanking.cn/rankings/bcvcr/2026623,campus,profile_campus,,,,,no,,泉州工艺美术职业学院,no,
district,福建省,泉州市,丰泽区,7,7,4135010385,华侨大学,本科,no,,public_before_private,同层次同标签下公办优先（按当前项目政策，非排名证据）；候选池先按层次收敛：本科层次优先于更低层次（项目层次政策）,policy,resolved_policy,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 139,139,https://www.shanghairanking.cn/rankings/bcur/2026,campus,profile_campus,4135010399,泉州师范学院,本科,shanghairanking-bcur,yes,,华侨大学|泉州师范学院,yes,
district,福建省,泉州市,惠安县,1,1,4135012927,泉州华光职业学院,专科,yes,,single_candidate,该行政单元在现行口径下只有 1 个候选，无需比较,policy,resolved_policy,shanghairanking-bcvcr-private-vocational,shanghairanking-bcvcr-private-vocational,shanghairanking-bcvcr-private-vocational,2026,民办高职专科院校排名,,ranking,2026软科民办高职专科 24,24,https://www.shanghairanking.cn/rankings/bcvcr/2026633,campus,profile_campus,,,,,no,,泉州华光职业学院,no,
district,福建省,泉州市,金门县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,福建省,泉州市,晋江市,3,3,4135010386,福州大学,本科,no,211|双一流,prestige_tag,211 标签优先于无重点标签（国家官方重点建设名单）,strong,resolved_strong,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 77,77,https://www.shanghairanking.cn/rankings/bcur/2026,campus,profile_campus,,,,,no,,福州大学,no,no comparable second place: the deciding rule set aside the other 2 candidate(s) without leaving anybody on the winner's own scale
district,福建省,泉州市,鲤城区,3,3,4135011317,黎明职业大学,本科,no,,level_order,本科层次优先于更低层次候选（项目层次政策）,policy,resolved_policy,shanghairanking-bcvcr-public-vocational-undergraduate,shanghairanking-bcvcr-public-vocational-undergraduate,shanghairanking-bcvcr-public-vocational-undergraduate,2026,中国职业本科大学排名,,ranking,2026软科职业本科大学 49,49,https://www.shanghairanking.cn/rankings/bcvcr/2026749,campus,profile_campus,,,,,no,,黎明职业大学,no,no comparable second place: the deciding rule set aside the other 2 candidate(s) without leaving anybody on the winner's own scale
district,福建省,泉州市,洛江区,3,3,4135011784,仰恩大学,本科,yes,,level_order,本科层次优先于更低层次候选（项目层次政策）,policy,resolved_policy,shanghairanking-bcur-private,shanghairanking-bcur-private,shanghairanking-bcur-private,2026,中国民办高校排名（主榜）,,ranking,2026软科民办 100,100,https://www.shanghairanking.cn/rankings/bcur/202615,campus,profile_campus,,,,,no,,仰恩大学,no,no comparable second place: the deciding rule set aside the other 2 candidate(s) without leaving anybody on the winner's own scale
district,福建省,泉州市,南安市,4,4,4135010399,泉州师范学院,本科,no,,public_before_private,同层次同标签下公办优先（按当前项目政策，非排名证据）；候选池先按层次收敛：本科层次优先于更低层次（项目层次政策）,policy,resolved_policy,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 357,357,https://www.shanghairanking.cn/rankings/bcur/2026,campus,profile_campus,,,,,no,,泉州师范学院,yes,no comparable second place: the deciding rule set aside the other 3 candidate(s) without leaving anybody on the winner's own scale
district,福建省,泉州市,泉港区,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
