高校代码,学校名称,省级地区,主体城市,办学层次,历史招生批次摘要,民办,985,211,双一流,当前状态,参与当前榜单,地图排序参考,软科最新,软科主榜参考,QS最新,THE最新,ARWU最新,校区记录数,县区证据数,可落最低法定边界,录取事实数,最新录取年份,财务事实数,最新财务年份,学校官网
4113013690,河北司法警官职业学院,河北省,邯郸市,专科,,否,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.jjgxy.com.cn
4113013779,沧州医学高等专科学校,河北省,沧州市,专科,,否,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,http://www.czmc.cn
4113013822,河北女子职业技术学院,河北省,石家庄市,专科,,否,否,否,否,现役候选,是,,,,,,,4,0,是,0,,0,,http://www.hebnzxy.com
4113014018,石家庄医学高等专科学校,河北省,石家庄市,专科,,是,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.sjzmc.cn/
4113014047,石家庄经济职业学院,河北省,石家庄市,专科,,是,否,否,否,现役候选,是,,,,,,,4,0,是,0,,0,,https://www.sjzjjxy.com
4113014103,冀中职业学院,河北省,保定市,专科,,否,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.jzhxy.edu.cn/
4113014158,石家庄人民医学高等专科学校,河北省,石家庄市,专科,,是,否,否,否,现役候选,是,,,,,,,3,0,是,0,,0,,http://www.sjzpmc.com/
4113014185,河北正定师范高等专科学校,河北省,石家庄市,专科,,否,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.zdnc.edu.cn/
4113014208,河北劳动关系职业学院,河北省,石家庄市,专科,,否,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.hbgy.edu.cn/
4113014213,石家庄科技职业学院,河北省,石家庄市,专科,,是,否,否,否,现役候选,是,,,,,,,3,0,是,0,,0,,https://www.sjzkjxy.com/
4113014259,沧州幼儿师范高等专科学校,河北省,沧州市,专科,,否,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.czptc.edu.cn/
4113014260,宣化科技职业学院,河北省,张家口市,专科,,否,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.xhkjzyxy.edu.cn/
4113014280,廊坊燕京职业技术学院,河北省,廊坊市,专科,,否,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.lfyjzjxy.cn/
4113014281,承德护理职业学院,河北省,承德市,专科,,否,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.cdnvc.edu.cn/
4113014328,石家庄幼儿师范高等专科学校,河北省,石家庄市,专科,,否,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.sjzysgz.com
4113014335,廊坊卫生职业学院,河北省,廊坊市,专科,,否,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.lfwx.net/
4113014396,河北轨道运输职业技术学院,河北省,石家庄市,专科,,否,否,否,否,现役候选,是,,,,,,,5,0,是,0,,0,,https://www.hbgdys.cn/
4113014460,保定幼儿师范高等专科学校,河北省,保定市,专科,,否,否,否,否,现役候选,是,,,,,,,3,0,是,0,,0,,https://www.bdysgz.cn/
4113014471,河北工艺美术职业学院,河北省,保定市,专科,,否,否,否,否,现役候选,是,,,,,,,3,0,是,0,,0,,https://www.hbgm.edu.cn/
4113014472,渤海理工职业学院,河北省,沧州市,专科,,是,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.bhlgxy.cn/
4113014586,唐山幼儿师范高等专科学校,河北省,唐山市,专科,,否,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.tsyzh.edu.cn
4113014601,曹妃甸职业技术学院,河北省,唐山市,专科,,是,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.cct.edu.cn/
4113014632,承德应用技术职业学院,河北省,承德市,专科,,否,否,否,否,现役候选,是,,,,,,,1,1,是,0,,0,,https://www.cdct.edu.cn/
4113014686,邯郸幼儿师范高等专科学校,河北省,邯郸市,专科,,否,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,http://www.hdyz.edu.cn/
4113014695,邯郸科技职业学院,河北省,邯郸市,专科,,否,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.hdkz.edu.cn/
4113014696,唐山海运职业学院,河北省,唐山市,专科,,是,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.tmi.edu.cn/
4113014742,邢台应用技术职业学院,河北省,邢台市,专科,,是,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,http://xtyzy.cn/
4213050139,河北资源环境职业技术学院,河北省,石家庄市,专科,,否,否,否,否,现役候选,是,,,,,,,3,0,是,0,,0,,https://www.hebzyhj.edu.cn/
4113014785,衡水健康科技职业学院,河北省,衡水市,专科,,否,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://hsjkkjzyxy.cn
4113014786,沧州航空职业学院,河北省,沧州市,专科,,是,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,http://www.czhkzy.com/
4113014787,邯郸应用技术职业学院,河北省,邯郸市,专科,,是,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.hvcat.com/#/
4113014788,秦皇岛工业职业技术学院,河北省,秦皇岛市,专科,,否,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.qhdgzy.com/
4113014852,邢台新能源职业学院,河北省,邢台市,专科,,是,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.xtxny.edu.cn/
