id,uid,universityName,rankingId,agency,rankingName,edition,rank,rankDisplay,rankLower,rankUpper,rankMidpoint,referenceRank,referenceRankOrRank,nationalRank,score,category,scope,sourceUrl,publishedAt,retrievedAt,verified,notes,displayLabel
RANK_SR_BCVCR_2026_4162012833,4162012833,兰州职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,65,65,,,65.0,291,291,,,综合,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职综合 65 · 总榜参考 291
RANK_SR_BCVCR_2026_4153012555,4153012555,云南农业职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,22,22,,,22.0,292,292,,,农林,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职农林 22 · 总榜参考 292
RANK_SR_BCVCR_2026_4151014010,4151014010,四川中医药高等专科学校,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,22,22,,,22.0,292,292,,,医药,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职医药 22 · 总榜参考 292
RANK_SR_BCVCR_2026_4136013867,4136013867,江西制造职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,150,150,,,150.0,292,292,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 150 · 总榜参考 292
RANK_SR_BCVCR_2026_4141014383,4141014383,洛阳职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,67,67,,,67.0,293,293,,,综合,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职综合 67 · 总榜参考 293
RANK_SR_BCVCR_2026_4113012389,4113012389,河北建材职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,151,151,,,151.0,294,294,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 151 · 总榜参考 294
RANK_SR_BCVCR_2026_4151012753,4151012753,绵阳职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,68,68,,,68.0,297,297,,,综合,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职综合 68 · 总榜参考 297
RANK_SR_BCVCR_2026_4141014307,4141014307,河南应用技术职业学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,152,152,,,152.0,298,298,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 152 · 总榜参考 298
RANK_SR_BCVCR_2026_4133014492,4133014492,浙江安防职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,153,153,,,153.0,299,299,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 153 · 总榜参考 299
RANK_SR_BCVCR_2026_4152014252,4152014252,贵州职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,69,69,,,69.0,299,299,,,综合,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职综合 69 · 总榜参考 299
